"pixel","bs_sic_x10","sicDate","x","y","lon","lat"
5,0.328000009059906,"20230101",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0.397000014781952,"20230101",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0.426999986171722,"20230101",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0.298000007867813,"20230101",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0.200000002980232,"20230101",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20230101",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20230101",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20230101",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20230101",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0.224000006914139,"20230101",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0.293999999761581,"20230101",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0.481000006198883,"20230101",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20230102",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0.178000003099442,"20230102",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0.296999990940094,"20230102",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0.36599999666214,"20230102",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0.523000001907349,"20230102",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0.53600001335144,"20230102",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0.583000004291534,"20230102",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0.40599998831749,"20230102",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0.298000007867813,"20230102",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20230102",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20230102",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20230102",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20230102",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0.180000007152557,"20230102",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0.34400001168251,"20230102",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0.577000021934509,"20230102",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0.248999997973442,"20230103",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0.241999998688698,"20230103",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0.453999996185303,"20230103",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0.421999990940094,"20230103",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0.657999992370605,"20230103",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0.65200001001358,"20230103",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0.707000017166138,"20230103",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0.479000002145767,"20230103",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0.282000005245209,"20230103",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20230103",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20230103",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20230103",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0.218999996781349,"20230103",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0.33899998664856,"20230103",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0.568000018596649,"20230103",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0.754000008106232,"20230103",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0.41100001335144,"20230104",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0.368000000715256,"20230104",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0.638000011444092,"20230104",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0.605000019073486,"20230104",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0.782000005245209,"20230104",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0.795000016689301,"20230104",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0.810999989509583,"20230104",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0.578000009059906,"20230104",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0.34400001168251,"20230104",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0.210999995470047,"20230104",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20230104",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0.230000004172325,"20230104",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0.333000004291534,"20230104",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0.519999980926514,"20230104",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0.720000028610229,"20230104",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0.828999996185303,"20230104",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0.528999984264374,"20230105",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0.455000013113022,"20230105",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0.736000001430511,"20230105",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0.66100001335144,"20230105",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0.861999988555908,"20230105",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0.837000012397766,"20230105",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0.819999992847443,"20230105",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0.635999977588654,"20230105",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0.41499999165535,"20230105",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0.257999986410141,"20230105",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0.257999986410141,"20230105",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0.340999990701675,"20230105",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0.423000007867813,"20230105",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0.629999995231628,"20230105",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0.828000009059906,"20230105",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0.896000027656555,"20230105",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0.648999989032745,"20230106",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0.519999980926514,"20230106",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0.85699999332428,"20230106",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0.764999985694885,"20230106",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0.964999973773956,"20230106",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0.910000026226044,"20230106",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0.867999970912933,"20230106",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0.674000024795532,"20230106",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
