"","pixel","bs_sic_x10","lon","lat","sicDate","x","y"
"1254",12,1000,-173.39871039,62.13615455,"20220223",-2411473.67853153,1911222.11307978
"1353",13,1000,-173.10043038,61.95538139,"20220223",-2437718.94307876,1911445.37777676
"1453",14,1000,-172.74200852,62.09614904,"20220223",-2436850.54348647,1886267.69227442
"1553",15,1000,-172.37301955,62.21931067,"20220223",-2437718.54562213,1861958.28583285
"1653",16,1000,-172.01043703,62.34746359,"20220223",-2437718.35458089,1837648.8452323
"1157",1,981,-173.05576386,62.26233287,"20220224",-2411473.49214075,1887832.07778017
"254",2,975,-173.33655426,62.42821497,"20220224",-2387276.81855827,1887831.88592911
"354",3,988,-172.67357453,62.40051872,"20220224",-2411473.28765688,1862022.41413149
"454",4,999,-172.9293529,62.57602444,"20220224",-2387276.60372308,1860409.10948969
"554",5,982,-172.3087748,62.53892242,"20220224",-2410666.53116729,1837019.28420536
"654",6,986,-172.59435311,62.72215112,"20220224",-2384856.75697129,1836212.53598877
"754",7,1000,-172.8825669,62.86960264,"20220224",-2362273.2266533,1837825.46139676
"854",8,1000,-173.28950402,62.74155685,"20220224",-2360660.30422343,1863635.10199659
"954",9,1000,-173.64949576,62.61006956,"20220224",-2360660.49126403,1887831.6767689
"1054",10,1000,-174.05315813,62.45989067,"20220224",-2360660.70709449,1915254.47383621
"1158",11,986,-173.73223588,62.30883546,"20220224",-2384857.35645813,1912834.99988579
"1255",12,981,-173.39871039,62.13615455,"20220224",-2411473.67853153,1911222.11307978
"1354",13,1000,-173.10043038,61.95538139,"20220224",-2437718.94307876,1911445.37777676
"1454",14,1000,-172.74200852,62.09614904,"20220224",-2436850.54348647,1886267.69227442
"1554",15,1000,-172.37301955,62.21931067,"20220224",-2437718.54562213,1861958.28583285
"1654",16,1000,-172.01043703,62.34746359,"20220224",-2437718.35458089,1837648.8452323
"1159",1,1000,-173.05576386,62.26233287,"20220225",-2411473.49214075,1887832.07778017
"255",2,1000,-173.33655426,62.42821497,"20220225",-2387276.81855827,1887831.88592911
"355",3,1000,-172.67357453,62.40051872,"20220225",-2411473.28765688,1862022.41413149
"455",4,1000,-172.9293529,62.57602444,"20220225",-2387276.60372308,1860409.10948969
"555",5,1000,-172.3087748,62.53892242,"20220225",-2410666.53116729,1837019.28420536
"655",6,1000,-172.59435311,62.72215112,"20220225",-2384856.75697129,1836212.53598877
"755",7,1000,-172.8825669,62.86960264,"20220225",-2362273.2266533,1837825.46139676
"855",8,1000,-173.28950402,62.74155685,"20220225",-2360660.30422343,1863635.10199659
"955",9,1000,-173.64949576,62.61006956,"20220225",-2360660.49126403,1887831.6767689
"1055",10,1000,-174.05315813,62.45989067,"20220225",-2360660.70709449,1915254.47383621
"1160",11,1000,-173.73223588,62.30883546,"20220225",-2384857.35645813,1912834.99988579
"1256",12,1000,-173.39871039,62.13615455,"20220225",-2411473.67853153,1911222.11307978
"1355",13,1000,-173.10043038,61.95538139,"20220225",-2437718.94307876,1911445.37777676
"1455",14,1000,-172.74200852,62.09614904,"20220225",-2436850.54348647,1886267.69227442
"1555",15,1000,-172.37301955,62.21931067,"20220225",-2437718.54562213,1861958.28583285
"1655",16,1000,-172.01043703,62.34746359,"20220225",-2437718.35458089,1837648.8452323
"1161",1,1000,-173.05576386,62.26233287,"20220226",-2411473.49214075,1887832.07778017
"256",2,1000,-173.33655426,62.42821497,"20220226",-2387276.81855827,1887831.88592911
"356",3,1000,-172.67357453,62.40051872,"20220226",-2411473.28765688,1862022.41413149
"456",4,1000,-172.9293529,62.57602444,"20220226",-2387276.60372308,1860409.10948969
"556",5,1000,-172.3087748,62.53892242,"20220226",-2410666.53116729,1837019.28420536
"656",6,1000,-172.59435311,62.72215112,"20220226",-2384856.75697129,1836212.53598877
"756",7,1000,-172.8825669,62.86960264,"20220226",-2362273.2266533,1837825.46139676
"856",8,1000,-173.28950402,62.74155685,"20220226",-2360660.30422343,1863635.10199659
"956",9,1000,-173.64949576,62.61006956,"20220226",-2360660.49126403,1887831.6767689
"1056",10,1000,-174.05315813,62.45989067,"20220226",-2360660.70709449,1915254.47383621
"1162",11,1000,-173.73223588,62.30883546,"20220226",-2384857.35645813,1912834.99988579
"1257",12,1000,-173.39871039,62.13615455,"20220226",-2411473.67853153,1911222.11307978
"1356",13,1000,-173.10043038,61.95538139,"20220226",-2437718.94307876,1911445.37777676
"1456",14,1000,-172.74200852,62.09614904,"20220226",-2436850.54348647,1886267.69227442
"1556",15,938,-172.37301955,62.21931067,"20220226",-2437718.54562213,1861958.28583285
"1656",16,938,-172.01043703,62.34746359,"20220226",-2437718.35458089,1837648.8452323
"1163",1,1000,-173.05576386,62.26233287,"20220227",-2411473.49214075,1887832.07778017
"257",2,1000,-173.33655426,62.42821497,"20220227",-2387276.81855827,1887831.88592911
"357",3,1000,-172.67357453,62.40051872,"20220227",-2411473.28765688,1862022.41413149
"457",4,1000,-172.9293529,62.57602444,"20220227",-2387276.60372308,1860409.10948969
"557",5,1000,-172.3087748,62.53892242,"20220227",-2410666.53116729,1837019.28420536
"657",6,1000,-172.59435311,62.72215112,"20220227",-2384856.75697129,1836212.53598877
